Iteration,A_Prompt_Tokens,B_Prompt_Tokens,Delta_B_minus_A_Prompt_Tokens,A_Wins_Prompt_Tokens,B_Wins_Prompt_Tokens,Tie_Prompt_Tokens,A_Cached_Tokens,B_Cached_Tokens,Delta_B_minus_A_Cached_Tokens,A_Wins_Cached_Tokens,B_Wins_Cached_Tokens,Tie_Cached_Tokens,A_Uncached_Prompt_Tokens,B_Uncached_Prompt_Tokens,Delta_B_minus_A_Uncached_Prompt_Tokens,A_Wins_Uncached_Prompt_Tokens,B_Wins_Uncached_Prompt_Tokens,Tie_Uncached_Prompt_Tokens,A_Completion_Tokens,B_Completion_Tokens,Delta_B_minus_A_Completion_Tokens,A_Wins_Completion_Tokens,B_Wins_Completion_Tokens,Tie_Completion_Tokens,A_Total_Tokens,B_Total_Tokens,Delta_B_minus_A_Total_Tokens,A_Wins_Total_Tokens,B_Wins_Total_Tokens,Tie_Total_Tokens,A_Service_Latency_ms,B_Service_Latency_ms,Delta_B_minus_A_Service_Latency_ms,A_Wins_Service_Latency_ms,B_Wins_Service_Latency_ms,Tie_Service_Latency_ms,A_Operational_Wall_ms,B_Operational_Wall_ms,Delta_B_minus_A_Operational_Wall_ms,A_Wins_Operational_Wall_ms,B_Wins_Operational_Wall_ms,Tie_Operational_Wall_ms,A_Actual_Cost_USD,B_Actual_Cost_USD,Delta_B_minus_A_Actual_Cost_USD,A_Wins_Actual_Cost_USD,B_Wins_Actual_Cost_USD,Tie_Actual_Cost_USD,A_NoCache_Cost_USD,B_NoCache_Cost_USD,Delta_B_minus_A_NoCache_Cost_USD,A_Wins_NoCache_Cost_USD,B_Wins_NoCache_Cost_USD,Tie_NoCache_Cost_USD,A_Exact_Accuracy,B_Exact_Accuracy,Delta_B_minus_A_Exact_Accuracy,A_Wins_Exact_Accuracy,B_Wins_Exact_Accuracy,Tie_Exact_Accuracy,A_JSON_Adherence,B_JSON_Adherence,Delta_B_minus_A_JSON_Adherence,A_Wins_JSON_Adherence,B_Wins_JSON_Adherence,Tie_JSON_Adherence,A_Contamination_Total,B_Contamination_Total,Delta_B_minus_A_Contamination_Total,A_Wins_Contamination_Total,B_Wins_Contamination_Total,Tie_Contamination_Total,A_Courtesy_Tokens,B_Courtesy_Tokens,Delta_B_minus_A_Courtesy_Tokens,A_Wins_Courtesy_Tokens,B_Wins_Courtesy_Tokens,Tie_Courtesy_Tokens
1,10242.000000000000,2505.000000000000,-7737.000000000000,0,1,0,10112.000000000000,0.000000000000,-10112.000000000000,0,1,0,130.000000000000,2505.000000000000,2375.000000000000,1,0,0,40.000000000000,129.000000000000,89.000000000000,1,0,0,10282.000000000000,2634.000000000000,-7648.000000000000,0,1,0,1009.478000000000,3063.860000000000,2054.382000000000,1,0,0,49917.959000000003,3102.510000000000,-46815.449000000001,0,1,0,0.013365000000,0.005517400000,-0.007847600000,0,1,0,0.026005000000,0.005517400000,-0.020487600000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1
2,10242.000000000000,2506.000000000000,-7736.000000000000,0,1,0,10112.000000000000,0.000000000000,-10112.000000000000,0,1,0,130.000000000000,2506.000000000000,2376.000000000000,1,0,0,41.000000000000,130.000000000000,89.000000000000,1,0,0,10283.000000000000,2636.000000000000,-7647.000000000000,0,1,0,800.422000000000,2335.025000000000,1534.603000000000,1,0,0,806.776000000000,2356.482000000000,1549.706000000000,1,0,0,0.013375000000,0.005520500000,-0.007854500000,0,1,0,0.026015000000,0.005520500000,-0.020494500000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1
3,10242.000000000000,2501.000000000000,-7741.000000000000,0,1,0,10112.000000000000,0.000000000000,-10112.000000000000,0,1,0,130.000000000000,2501.000000000000,2371.000000000000,1,0,0,41.000000000000,125.000000000000,84.000000000000,1,0,0,10283.000000000000,2626.000000000000,-7657.000000000000,0,1,0,891.678000000000,3370.527000000000,2478.849000000000,1,0,0,50962.150000000001,3396.499000000000,-47565.650999999998,0,1,0,0.013375000000,0.005505000000,-0.007870000000,0,1,0,0.026015000000,0.005505000000,-0.020510000000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1
4,10242.000000000000,2508.000000000000,-7734.000000000000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,10242.000000000000,2508.000000000000,-7734.000000000000,0,1,0,40.000000000000,132.000000000000,92.000000000000,1,0,0,10282.000000000000,2640.000000000000,-7642.000000000000,0,1,0,1029.441000000000,2740.197000000000,1710.756000000000,1,0,0,1045.831000000000,2769.360000000000,1723.529000000000,1,0,0,0.026005000000,0.005526700000,-0.020478300000,0,1,0,0.026005000000,0.005526700000,-0.020478300000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1
5,10242.000000000000,2504.000000000000,-7738.000000000000,0,1,0,10112.000000000000,0.000000000000,-10112.000000000000,0,1,0,130.000000000000,2504.000000000000,2374.000000000000,1,0,0,41.000000000000,128.000000000000,87.000000000000,1,0,0,10283.000000000000,2632.000000000000,-7651.000000000000,0,1,0,2580.282000000000,2515.413000000000,-64.869000000000,0,1,0,51790.485999999997,2542.106000000000,-49248.379999999997,0,1,0,0.013375000000,0.005514300000,-0.007860700000,0,1,0,0.026015000000,0.005514300000,-0.020500700000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1
6,10242.000000000000,2501.000000000000,-7741.000000000000,0,1,0,10112.000000000000,0.000000000000,-10112.000000000000,0,1,0,130.000000000000,2501.000000000000,2371.000000000000,1,0,0,40.000000000000,125.000000000000,85.000000000000,1,0,0,10282.000000000000,2626.000000000000,-7656.000000000000,0,1,0,812.516000000000,2662.970000000000,1850.454000000000,1,0,0,827.547000000000,2704.595000000000,1877.048000000000,1,0,0,0.013365000000,0.005505000000,-0.007860000000,0,1,0,0.026005000000,0.005505000000,-0.020500000000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1
7,10242.000000000000,2496.000000000000,-7746.000000000000,0,1,0,10112.000000000000,0.000000000000,-10112.000000000000,0,1,0,130.000000000000,2496.000000000000,2366.000000000000,1,0,0,40.000000000000,120.000000000000,80.000000000000,1,0,0,10282.000000000000,2616.000000000000,-7666.000000000000,0,1,0,1001.584000000000,2599.385000000000,1597.801000000000,1,0,0,49435.974000000002,2634.056000000000,-46801.918000000005,0,1,0,0.013365000000,0.005489500000,-0.007875500000,0,1,0,0.026005000000,0.005489500000,-0.020515500000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1
8,10242.000000000000,2501.000000000000,-7741.000000000000,0,1,0,10112.000000000000,0.000000000000,-10112.000000000000,0,1,0,130.000000000000,2501.000000000000,2371.000000000000,1,0,0,40.000000000000,125.000000000000,85.000000000000,1,0,0,10282.000000000000,2626.000000000000,-7656.000000000000,0,1,0,876.604000000000,2512.272000000000,1635.668000000000,1,0,0,895.846000000000,2547.390000000000,1651.544000000000,1,0,0,0.013365000000,0.005505000000,-0.007860000000,0,1,0,0.026005000000,0.005505000000,-0.020500000000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1
9,10242.000000000000,2498.000000000000,-7744.000000000000,0,1,0,10112.000000000000,0.000000000000,-10112.000000000000,0,1,0,130.000000000000,2498.000000000000,2368.000000000000,1,0,0,40.000000000000,122.000000000000,82.000000000000,1,0,0,10282.000000000000,2620.000000000000,-7662.000000000000,0,1,0,1410.652000000000,3641.826000000000,2231.174000000000,1,0,0,51712.368000000002,3675.426000000000,-48036.942000000003,0,1,0,0.013365000000,0.005495700000,-0.007869300000,0,1,0,0.026005000000,0.005495700000,-0.020509300000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1
10,10242.000000000000,2500.000000000000,-7742.000000000000,0,1,0,10112.000000000000,0.000000000000,-10112.000000000000,0,1,0,130.000000000000,2500.000000000000,2370.000000000000,1,0,0,40.000000000000,124.000000000000,84.000000000000,1,0,0,10282.000000000000,2624.000000000000,-7658.000000000000,0,1,0,998.991000000000,2889.287000000000,1890.296000000000,1,0,0,1021.638000000000,2923.443000000000,1901.805000000000,1,0,0,0.013365000000,0.005501900000,-0.007863100000,0,1,0,0.026005000000,0.005501900000,-0.020503100000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1
11,10242.000000000000,2505.000000000000,-7737.000000000000,0,1,0,10112.000000000000,1792.000000000000,-8320.000000000000,0,1,0,130.000000000000,713.000000000000,583.000000000000,1,0,0,40.000000000000,115.000000000000,75.000000000000,1,0,0,10282.000000000000,2620.000000000000,-7662.000000000000,0,1,0,1595.822000000000,2504.935000000000,909.113000000000,1,0,0,49854.536999999997,2540.415000000000,-47314.121999999996,0,1,0,0.013365000000,0.003137400000,-0.010227600000,0,1,0,0.026005000000,0.005377400000,-0.020627600000,0,1,0,0.000000000000,1.000000000000,1.000000000000,0,1,0,0.000000000000,1.000000000000,1.000000000000,0,1,0,0.000000000000,0.000000000000,0.000000000000,0,0,1,0.000000000000,0.000000000000,0.000000000000,0,0,1
